,Class,Accuracy,Top 5 Accuracy,F1 score,Precision,Recall,Specificity
0,"tench, Tinca tinca",tensor(0.7428),0.98,0.96,0.96,0.96,0.99995995
1,"goldfish, Carassius auratus",tensor(0.7428),0.96,0.875,0.9130435,0.84,0.9999199
2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",tensor(0.7428),0.98,0.8125,0.84782606,0.78,0.99985987
3,"tiger shark, Galeocerdo cuvieri",tensor(0.7428),0.94,0.74999994,0.7222222,0.78,0.9996997
4,"hammerhead, hammerhead shark",tensor(0.7428),0.98,0.7924529,0.75,0.84,0.99971974
5,"electric ray, crampfish, numbfish, torpedo",tensor(0.7428),0.92,0.71559626,0.66101694,0.78,0.9995996
6,stingray,tensor(0.7428),0.96,0.76595753,0.8181818,0.72,0.99983984
7,cock,tensor(0.7428),0.92,0.78160924,0.9189189,0.68,0.9999399
8,hen,tensor(0.7428),0.94,0.79611653,0.7735849,0.82,0.99975973
9,"ostrich, Struthio camelus",tensor(0.7428),1.0,0.98039216,0.96153843,1.0,0.99995995
10,"brambling, Fringilla montifringilla",tensor(0.7428),0.96,0.8269231,0.7962963,0.86,0.99977976
11,"goldfinch, Carduelis carduelis",tensor(0.7428),1.0,0.9292929,0.93877554,0.92,0.9999399
12,"house finch, linnet, Carpodacus mexicanus",tensor(0.7428),1.0,0.8910891,0.88235295,0.9,0.9998799
13,"junco, snowbird",tensor(0.7428),1.0,0.93333334,0.8909091,0.98,0.9998799
14,"indigo bunting, indigo finch, indigo bird, Passerina cyanea",tensor(0.7428),0.98,0.9215687,0.90384614,0.94,0.9998999
15,"robin, American robin, Turdus migratorius",tensor(0.7428),0.98,0.89795923,0.9166667,0.88,0.9999199
16,bulbul,tensor(0.7428),0.98,0.9375,0.9782609,0.9,0.99998
17,jay,tensor(0.7428),0.94,0.94,0.94,0.94,0.9999399
18,magpie,tensor(0.7428),0.94,0.9148936,0.97727275,0.86,0.99998
19,chickadee,tensor(0.7428),0.98,0.9591837,0.9791667,0.94,0.99998
20,"water ouzel, dipper",tensor(0.7428),0.94,0.8659794,0.89361703,0.84,0.9998999
21,kite,tensor(0.7428),0.98,0.78846157,0.7592593,0.82,0.99973977
22,"bald eagle, American eagle, Haliaeetus leucocephalus",tensor(0.7428),0.98,0.9320388,0.9056604,0.96,0.9998999
23,vulture,tensor(0.7428),1.0,0.9056604,0.85714287,0.96,0.99983984
24,"great grey owl, great gray owl, Strix nebulosa",tensor(0.7428),0.98,0.989899,1.0,0.98,1.0
25,"European fire salamander, Salamandra salamandra",tensor(0.7428),0.98,0.9591837,0.9791667,0.94,0.99998
26,"common newt, Triturus vulgaris",tensor(0.7428),1.0,0.6111111,0.5689655,0.66,0.9994995
27,eft,tensor(0.7428),0.8,0.80851066,0.8636364,0.76,0.9998799
28,"spotted salamander, Ambystoma maculatum",tensor(0.7428),0.9,0.81632656,0.8333333,0.8,0.99983984
29,"axolotl, mud puppy, Ambystoma mexicanum",tensor(0.7428),0.96,0.8888889,0.8979592,0.88,0.9998999
30,"bullfrog, Rana catesbeiana",tensor(0.7428),0.86,0.70967746,0.76744187,0.66,0.9997998
31,"tree frog, tree-frog",tensor(0.7428),0.94,0.8041237,0.82978725,0.78,0.99983984
32,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",tensor(0.7428),0.8,0.51785713,0.46774194,0.58,0.99933934
33,"loggerhead, loggerhead turtle, Caretta caretta",tensor(0.7428),0.94,0.7636364,0.7,0.84,0.99963963
34,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",tensor(0.7428),0.86,0.6966292,0.7948718,0.62,0.99983984
35,mud turtle,tensor(0.7428),0.92,0.60784316,0.59615386,0.62,0.9995796
36,terrapin,tensor(0.7428),1.0,0.5744681,0.6136364,0.54,0.99965966
37,"box turtle, box tortoise",tensor(0.7428),1.0,0.76,0.76,0.76,0.99975973
38,banded gecko,tensor(0.7428),0.94,0.82828283,0.8367347,0.82,0.99983984
39,"common iguana, iguana, Iguana iguana",tensor(0.7428),0.92,0.78787875,0.79591835,0.78,0.9997998
40,"American chameleon, anole, Anolis carolinensis",tensor(0.7428),0.96,0.5981308,0.5614035,0.64,0.9994995
41,"whiptail, whiptail lizard",tensor(0.7428),0.96,0.78899086,0.7288136,0.86,0.9996797
42,agama,tensor(0.7428),0.94,0.71999997,0.72,0.72,0.99971974
43,"frilled lizard, Chlamydosaurus kingi",tensor(0.7428),0.92,0.8712871,0.8627451,0.88,0.99985987
44,alligator lizard,tensor(0.7428),0.86,0.6593407,0.73170733,0.6,0.99977976
45,"Gila monster, Heloderma suspectum",tensor(0.7428),0.84,0.8181819,0.94736844,0.72,0.99995995
46,"green lizard, Lacerta viridis",tensor(0.7428),0.9,0.42857143,0.5294118,0.36,0.9996797
47,"African chameleon, Chamaeleo chamaeleon",tensor(0.7428),0.92,0.82,0.82,0.82,0.9998198
48,"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",tensor(0.7428),0.98,0.9108911,0.9019608,0.92,0.9998999
49,"African crocodile, Nile crocodile, Crocodylus niloticus",tensor(0.7428),0.84,0.7070707,0.71428573,0.7,0.99971974
50,"American alligator, Alligator mississipiensis",tensor(0.7428),0.88,0.73170733,0.9375,0.6,0.99995995
51,triceratops,tensor(0.7428),0.9,0.9072165,0.9361702,0.88,0.9999399
52,"thunder snake, worm snake, Carphophis amoenus",tensor(0.7428),0.92,0.71929824,0.640625,0.82,0.99953955
53,"ringneck snake, ring-necked snake, ring snake",tensor(0.7428),0.94,0.7850467,0.7368421,0.84,0.9996997
54,"hognose snake, puff adder, sand viper",tensor(0.7428),0.88,0.6823529,0.82857144,0.58,0.9998799
55,"green snake, grass snake",tensor(0.7428),0.94,0.5641026,0.78571427,0.44,0.9998799
56,"king snake, kingsnake",tensor(0.7428),0.88,0.83146065,0.94871795,0.74,0.99995995
57,"garter snake, grass snake",tensor(0.7428),0.98,0.82474226,0.85106385,0.8,0.99985987
58,water snake,tensor(0.7428),0.88,0.6,0.6,0.6,0.9995996
59,vine snake,tensor(0.7428),0.84,0.7058824,0.6923077,0.72,0.9996797
60,"night snake, Hypsiglena torquata",tensor(0.7428),0.82,0.33333334,0.375,0.3,0.9994995
61,"boa constrictor, Constrictor constrictor",tensor(0.7428),0.96,0.79999995,0.84444445,0.76,0.99985987
62,"rock python, rock snake, Python sebae",tensor(0.7428),0.72,0.6373626,0.70731705,0.58,0.99975973
63,"Indian cobra, Naja naja",tensor(0.7428),0.98,0.7692308,0.7407407,0.8,0.99971974
64,green mamba,tensor(0.7428),0.92,0.64912283,0.578125,0.74,0.99945945
65,sea snake,tensor(0.7428),0.92,0.7916667,0.82608694,0.76,0.99983984
66,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",tensor(0.7428),0.9,0.5423729,0.47058824,0.64,0.99927926
67,"diamondback, diamondback rattlesnake, Crotalus adamanteus",tensor(0.7428),0.84,0.6363636,0.7368421,0.56,0.9997998
68,"sidewinder, horned rattlesnake, Crotalus cerastes",tensor(0.7428),0.92,0.35955054,0.41025642,0.32,0.99953955
69,trilobite,tensor(0.7428),1.0,0.8888889,0.82758623,0.96,0.9997998
70,"harvestman, daddy longlegs, Phalangium opilio",tensor(0.7428),0.92,0.776699,0.754717,0.8,0.99973977
71,scorpion,tensor(0.7428),0.94,0.7924529,0.75,0.84,0.99971974
72,"black and gold garden spider, Argiope aurantia",tensor(0.7428),0.98,0.81415933,0.73015875,0.92,0.99965966
73,"barn spider, Araneus cavaticus",tensor(0.7428),0.98,0.544,0.45333335,0.68,0.9991792
74,"garden spider, Aranea diademata",tensor(0.7428),0.96,0.5432099,0.7096774,0.44,0.9998198
75,"black widow, Latrodectus mactans",tensor(0.7428),0.98,0.84112155,0.7894737,0.9,0.99975973
76,tarantula,tensor(0.7428),0.98,0.9306931,0.92156863,0.94,0.9999199
77,"wolf spider, hunting spider",tensor(0.7428),0.94,0.5806452,0.627907,0.54,0.9996797
78,tick,tensor(0.7428),0.9,0.72222215,0.67241377,0.78,0.9996196
79,centipede,tensor(0.7428),0.88,0.7916667,0.82608694,0.76,0.99983984
80,black grouse,tensor(0.7428),1.0,0.88,0.88,0.88,0.9998799
81,ptarmigan,tensor(0.7428),0.92,0.8125,0.84782606,0.78,0.99985987
82,"ruffed grouse, partridge, Bonasa umbellus",tensor(0.7428),1.0,0.82568806,0.7627119,0.9,0.99971974
83,"prairie chicken, prairie grouse, prairie fowl",tensor(0.7428),1.0,0.86,0.86,0.86,0.99985987
84,peacock,tensor(0.7428),0.9,0.9010989,1.0,0.82,1.0
85,quail,tensor(0.7428),0.96,0.89795923,0.9166667,0.88,0.9999199
86,partridge,tensor(0.7428),0.98,0.78846157,0.7592593,0.82,0.99973977
87,"African grey, African gray, Psittacus erithacus",tensor(0.7428),0.96,0.9583333,1.0,0.92,1.0
88,macaw,tensor(0.7428),1.0,0.9411765,0.9230769,0.96,0.9999199
89,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",tensor(0.7428),0.92,0.875,0.9130435,0.84,0.9999199
90,lorikeet,tensor(0.7428),1.0,0.97029704,0.9607843,0.98,0.99995995
91,coucal,tensor(0.7428),0.94,0.8888889,0.8979592,0.88,0.9998999
92,bee eater,tensor(0.7428),1.0,0.9494949,0.9591837,0.94,0.99995995
93,hornbill,tensor(0.7428),0.94,0.927835,0.9574468,0.9,0.99995995
94,hummingbird,tensor(0.7428),0.96,0.89795923,0.9166667,0.88,0.9999199
95,jacamar,tensor(0.7428),0.98,0.8598131,0.80701756,0.92,0.99977976
96,toucan,tensor(0.7428),0.98,0.9072165,0.9361702,0.88,0.9999399
97,drake,tensor(0.7428),0.9,0.84444445,0.95,0.76,0.99995995
98,"red-breasted merganser, Mergus serrator",tensor(0.7428),0.98,0.8712871,0.8627451,0.88,0.99985987
99,goose,tensor(0.7428),0.96,0.75,0.7826087,0.72,0.9997998
100,"black swan, Cygnus atratus",tensor(0.7428),0.98,0.96,0.96,0.96,0.99995995
101,tusker,tensor(0.7428),0.96,0.5641026,0.49253732,0.66,0.9993193
102,"echidna, spiny anteater, anteater",tensor(0.7428),1.0,0.96969694,0.97959185,0.96,0.99998
103,"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus",tensor(0.7428),0.88,0.77358484,0.73214287,0.82,0.9996997
104,"wallaby, brush kangaroo",tensor(0.7428),0.96,0.85106385,0.90909094,0.8,0.9999199
105,"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus",tensor(0.7428),0.88,0.886598,0.9148936,0.86,0.9999199
106,wombat,tensor(0.7428),0.88,0.78723407,0.84090906,0.74,0.99985987
107,jellyfish,tensor(0.7428),0.96,0.8627451,0.84615386,0.88,0.99983984
108,"sea anemone, anemone",tensor(0.7428),0.92,0.74999994,0.8684211,0.66,0.9998999
109,brain coral,tensor(0.7428),1.0,0.8653845,0.8333333,0.9,0.9998198
110,"flatworm, platyhelminth",tensor(0.7428),1.0,0.8431373,0.8269231,0.86,0.9998198
111,"nematode, nematode worm, roundworm",tensor(0.7428),0.96,0.9215687,0.90384614,0.94,0.9998999
112,conch,tensor(0.7428),0.94,0.8041237,0.82978725,0.78,0.99983984
113,snail,tensor(0.7428),0.9,0.80808085,0.81632656,0.8,0.9998198
114,slug,tensor(0.7428),0.86,0.7628866,0.78723407,0.74,0.9997998
115,"sea slug, nudibranch",tensor(0.7428),0.98,0.79591835,0.8125,0.78,0.9998198
116,"chiton, coat-of-mail shell, sea cradle, polyplacophore",tensor(0.7428),0.96,0.8484848,0.85714287,0.84,0.99985987
117,"chambered nautilus, pearly nautilus, nautilus",tensor(0.7428),0.92,0.9148936,0.97727275,0.86,0.99998
118,"Dungeness crab, Cancer magister",tensor(0.7428),0.9,0.7799999,0.78,0.78,0.99977976
119,"rock crab, Cancer irroratus",tensor(0.7428),0.84,0.57407403,0.5344828,0.62,0.99945945
120,fiddler crab,tensor(0.7428),0.96,0.7422681,0.7659575,0.72,0.99977976
121,"king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica",tensor(0.7428),0.92,0.80808085,0.81632656,0.8,0.9998198
122,"American lobster, Northern lobster, Maine lobster, Homarus americanus",tensor(0.7428),0.98,0.8543689,0.8301887,0.88,0.9998198
123,"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",tensor(0.7428),0.86,0.82608694,0.9047619,0.76,0.9999199
124,"crayfish, crawfish, crawdad, crawdaddy",tensor(0.7428),0.9,0.70454544,0.81578946,0.62,0.99985987
125,hermit crab,tensor(0.7428),0.96,0.8,0.76363635,0.84,0.99973977
126,isopod,tensor(0.7428),0.84,0.7551021,0.7708333,0.74,0.99977976
127,"white stork, Ciconia ciconia",tensor(0.7428),0.94,0.9166666,0.95652175,0.88,0.99995995
128,"black stork, Ciconia nigra",tensor(0.7428),0.94,0.77777773,0.7241379,0.84,0.9996797
129,spoonbill,tensor(0.7428),1.0,0.9607843,0.9423077,0.98,0.9999399
130,flamingo,tensor(0.7428),0.98,0.9591837,0.9791667,0.94,0.99998
131,"little blue heron, Egretta caerulea",tensor(0.7428),0.98,0.89795923,0.9166667,0.88,0.9999199
132,"American egret, great white heron, Egretta albus",tensor(0.7428),0.98,0.8495575,0.7619048,0.96,0.9996997
133,bittern,tensor(0.7428),0.92,0.927835,0.9574468,0.9,0.99995995
134,crane,tensor(0.7428),0.92,0.78571427,0.9705882,0.66,0.99998
135,"limpkin, Aramus pictus",tensor(0.7428),1.0,0.98039216,0.96153843,1.0,0.99995995
136,"European gallinule, Porphyrio porphyrio",tensor(0.7428),0.98,0.9306931,0.92156863,0.94,0.9999199
137,"American coot, marsh hen, mud hen, water hen, Fulica americana",tensor(0.7428),0.98,0.9292929,0.93877554,0.92,0.9999399
138,bustard,tensor(0.7428),0.98,0.94,0.94,0.94,0.9999399
139,"ruddy turnstone, Arenaria interpres",tensor(0.7428),0.98,0.9423077,0.9074074,0.98,0.9998999
140,"red-backed sandpiper, dunlin, Erolia alpina",tensor(0.7428),0.94,0.84,0.84,0.84,0.99983984
141,"redshank, Tringa totanus",tensor(0.7428),0.96,0.9166666,0.95652175,0.88,0.99995995
142,dowitcher,tensor(0.7428),1.0,0.8888889,0.8979592,0.88,0.9998999
143,"oystercatcher, oyster catcher",tensor(0.7428),0.96,0.9,0.9,0.9,0.9998999
144,pelican,tensor(0.7428),1.0,0.8823529,0.86538464,0.9,0.99985987
145,"king penguin, Aptenodytes patagonica",tensor(0.7428),0.94,0.9473684,1.0,0.9,1.0
146,"albatross, mollymawk",tensor(0.7428),0.98,0.9019608,0.88461536,0.92,0.9998799
147,"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus",tensor(0.7428),0.96,0.8910891,0.88235295,0.9,0.9998799
148,"killer whale, killer, orca, grampus, sea wolf, Orcinus orca",tensor(0.7428),1.0,0.8932039,0.8679245,0.92,0.99985987
149,"dugong, Dugong dugon",tensor(0.7428),0.94,0.84112155,0.7894737,0.9,0.99975973
150,sea lion,tensor(0.7428),0.9,0.75728154,0.7358491,0.78,0.99971974
151,Chihuahua,tensor(0.7428),0.92,0.6530613,0.6666667,0.64,0.9996797
152,Japanese spaniel,tensor(0.7428),1.0,0.8602151,0.9302326,0.8,0.9999399
153,"Maltese dog, Maltese terrier, Maltese",tensor(0.7428),0.94,0.7678572,0.6935484,0.86,0.9996196
154,"Pekinese, Pekingese, Peke",tensor(0.7428),0.94,0.82,0.82,0.82,0.9998198
155,Shih-Tzu,tensor(0.7428),0.94,0.7070707,0.71428573,0.7,0.99971974
156,Blenheim spaniel,tensor(0.7428),0.98,0.9108911,0.9019608,0.92,0.9998999
157,papillon,tensor(0.7428),0.98,0.8679245,0.8214286,0.92,0.9997998
158,toy terrier,tensor(0.7428),0.96,0.72527474,0.80487806,0.66,0.99983984
159,Rhodesian ridgeback,tensor(0.7428),1.0,0.6126126,0.55737704,0.68,0.99945945
160,"Afghan hound, Afghan",tensor(0.7428),0.98,0.9019608,0.88461536,0.92,0.9998799
161,"basset, basset hound",tensor(0.7428),0.98,0.83018863,0.78571427,0.88,0.99975973
162,beagle,tensor(0.7428),0.98,0.73770493,0.625,0.9,0.99945945
163,"bloodhound, sleuthhound",tensor(0.7428),0.82,0.6585367,0.84375,0.54,0.9998999
164,bluetick,tensor(0.7428),0.96,0.85106385,0.90909094,0.8,0.9999199
165,black-and-tan coonhound,tensor(0.7428),0.84,0.70967746,0.76744187,0.66,0.9997998
166,"Walker hound, Walker foxhound",tensor(0.7428),1.0,0.72727275,0.6666667,0.8,0.9995996
167,English foxhound,tensor(0.7428),0.86,0.47887322,0.8095238,0.34,0.9999199
168,redbone,tensor(0.7428),0.92,0.7422681,0.7659575,0.72,0.99977976
169,"borzoi, Russian wolfhound",tensor(0.7428),1.0,0.9126213,0.8867925,0.94,0.9998799
170,Irish wolfhound,tensor(0.7428),0.92,0.6153846,0.68292683,0.56,0.99973977
171,Italian greyhound,tensor(0.7428),0.96,0.7636364,0.7,0.84,0.99963963
172,whippet,tensor(0.7428),0.96,0.71428573,0.7291667,0.7,0.99973977
173,"Ibizan hound, Ibizan Podenco",tensor(0.7428),0.9,0.6534654,0.64705884,0.66,0.99963963
174,"Norwegian elkhound, elkhound",tensor(0.7428),0.98,0.8932039,0.8679245,0.92,0.99985987
175,"otterhound, otter hound",tensor(0.7428),0.94,0.82,0.82,0.82,0.9998198
176,"Saluki, gazelle hound",tensor(0.7428),0.96,0.78787875,0.79591835,0.78,0.9997998
177,"Scottish deerhound, deerhound",tensor(0.7428),1.0,0.78095245,0.74545455,0.82,0.99971974
178,Weimaraner,tensor(0.7428),0.94,0.8888889,0.8979592,0.88,0.9998999
179,"Staffordshire bullterrier, Staffordshire bull terrier",tensor(0.7428),0.94,0.6938775,0.7083333,0.68,0.99971974
180,"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier",tensor(0.7428),0.92,0.6,0.6,0.6,0.9995996
181,Bedlington terrier,tensor(0.7428),1.0,0.87234044,0.9318182,0.82,0.9999399
182,Border terrier,tensor(0.7428),0.96,0.82608694,0.9047619,0.76,0.9999199
183,Kerry blue terrier,tensor(0.7428),0.96,0.886598,0.9148936,0.86,0.9999199
184,Irish terrier,tensor(0.7428),0.96,0.7346939,0.75,0.72,0.99975973
185,Norfolk terrier,tensor(0.7428),0.92,0.72727275,0.7346939,0.72,0.99973977
186,Norwich terrier,tensor(0.7428),0.98,0.6862745,0.6730769,0.7,0.99965966
187,Yorkshire terrier,tensor(0.7428),0.9,0.7,0.7,0.7,0.9996997
188,wire-haired fox terrier,tensor(0.7428),1.0,0.8817204,0.95348835,0.82,0.99995995
189,Lakeland terrier,tensor(0.7428),0.9,0.72549015,0.71153843,0.74,0.9996997
190,"Sealyham terrier, Sealyham",tensor(0.7428),0.96,0.9052632,0.95555556,0.86,0.99995995
191,"Airedale, Airedale terrier",tensor(0.7428),0.9,0.85714287,0.875,0.84,0.9998799
192,"cairn, cairn terrier",tensor(0.7428),0.96,0.7924529,0.75,0.84,0.99971974
193,Australian terrier,tensor(0.7428),0.84,0.59090906,0.68421054,0.52,0.99975973
194,"Dandie Dinmont, Dandie Dinmont terrier",tensor(0.7428),0.94,0.8514852,0.84313726,0.86,0.99983984
195,"Boston bull, Boston terrier",tensor(0.7428),1.0,0.84615386,0.8148148,0.88,0.9997998
196,miniature schnauzer,tensor(0.7428),0.96,0.62650603,0.7878788,0.52,0.99985987
197,giant schnauzer,tensor(0.7428),1.0,0.6464646,0.6530612,0.64,0.99965966
198,standard schnauzer,tensor(0.7428),0.98,0.76106197,0.6825397,0.86,0.9995996
199,"Scotch terrier, Scottish terrier, Scottie",tensor(0.7428),0.96,0.7128714,0.7058824,0.72,0.9996997
200,"Tibetan terrier, chrysanthemum dog",tensor(0.7428),0.98,0.68085104,0.72727275,0.64,0.99975973
201,"silky terrier, Sydney silky",tensor(0.7428),0.96,0.79999995,0.84444445,0.76,0.99985987
202,soft-coated wheaten terrier,tensor(0.7428),0.98,0.7818182,0.71666664,0.86,0.99965966
203,West Highland white terrier,tensor(0.7428),0.98,0.81818175,0.75,0.9,0.9996997
204,"Lhasa, Lhasa apso",tensor(0.7428),0.94,0.7010309,0.7234042,0.68,0.99973977
205,flat-coated retriever,tensor(0.7428),0.92,0.71428573,0.7291667,0.7,0.99973977
206,curly-coated retriever,tensor(0.7428),0.94,0.84,0.84,0.84,0.99983984
207,golden retriever,tensor(0.7428),0.98,0.77192986,0.6875,0.88,0.9995996
208,Labrador retriever,tensor(0.7428),0.94,0.7962963,0.7413793,0.86,0.9996997
209,Chesapeake Bay retriever,tensor(0.7428),0.92,0.8125,0.84782606,0.78,0.99985987
210,German short-haired pointer,tensor(0.7428),0.96,0.8518518,0.79310346,0.92,0.99975973
211,"vizsla, Hungarian pointer",tensor(0.7428),0.92,0.7407407,0.6896552,0.8,0.99963963
212,English setter,tensor(0.7428),0.94,0.71999997,0.72,0.72,0.99971974
213,"Irish setter, red setter",tensor(0.7428),0.94,0.79591835,0.8125,0.78,0.9998198
214,Gordon setter,tensor(0.7428),0.94,0.86,0.86,0.86,0.99985987
215,Brittany spaniel,tensor(0.7428),0.96,0.7663551,0.71929824,0.82,0.9996797
216,"clumber, clumber spaniel",tensor(0.7428),0.98,0.8737864,0.8490566,0.9,0.99983984
217,"English springer, English springer spaniel",tensor(0.7428),0.98,0.84615386,0.8148148,0.88,0.9997998
218,Welsh springer spaniel,tensor(0.7428),1.0,0.8598131,0.80701756,0.92,0.99977976
219,"cocker spaniel, English cocker spaniel, cocker",tensor(0.7428),0.92,0.71428573,0.7291667,0.7,0.99973977
220,Sussex spaniel,tensor(0.7428),0.94,0.7916667,0.82608694,0.76,0.99983984
221,Irish water spaniel,tensor(0.7428),0.98,0.8453609,0.87234044,0.82,0.9998799
222,kuvasz,tensor(0.7428),0.92,0.6875,0.7173913,0.66,0.99973977
223,schipperke,tensor(0.7428),0.96,0.81132066,0.76785713,0.86,0.99973977
224,groenendael,tensor(0.7428),1.0,0.79591835,0.8125,0.78,0.9998198
225,malinois,tensor(0.7428),0.98,0.8305085,0.7205882,0.98,0.9996196
226,briard,tensor(0.7428),0.8,0.60465115,0.7222222,0.52,0.9997998
227,kelpie,tensor(0.7428),0.92,0.6862745,0.6730769,0.7,0.99965966
228,komondor,tensor(0.7428),0.94,0.8627451,0.84615386,0.88,0.99983984
229,"Old English sheepdog, bobtail",tensor(0.7428),0.98,0.8679245,0.8214286,0.92,0.9997998
230,"Shetland sheepdog, Shetland sheep dog, Shetland",tensor(0.7428),0.94,0.70967746,0.76744187,0.66,0.9997998
231,collie,tensor(0.7428),0.96,0.59047616,0.56363636,0.62,0.9995195
232,Border collie,tensor(0.7428),0.94,0.73214287,0.66129035,0.82,0.9995796
233,"Bouvier des Flandres, Bouviers des Flandres",tensor(0.7428),0.96,0.69767445,0.56962025,0.9,0.9993193
234,Rottweiler,tensor(0.7428),0.96,0.7058824,0.6923077,0.72,0.9996797
235,"German shepherd, German shepherd dog, German police dog, alsatian",tensor(0.7428),0.96,0.80373836,0.75438595,0.86,0.99971974
